Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3385-5883-9850-92687,2021-07-29,1627568386,Charged,d2s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,5.99,0.30,6.29,صور,,,OM
GPA.3374-7001-6447-00093,2021-07-29,1627576143,Charged,HWCLT,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,CHF,2.70,0.00,2.70,Köniz,,3095,CH
GPA.3311-7501-2546-37173,2021-07-29,1627581148,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,116.38,18.62,135.00,,,05120,MX
GPA.3327-5931-0514-64736,2021-07-29,1627583829,Charged,potter_n,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,SEK,25.60,6.40,32.00,,,,SE
GPA.3301-8988-9059-47646,2021-07-29,1627587771,Charged,caymanlm,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CAD,7.49,0.75,8.24,LaSalle,QC,H8N 2E2,CA
GPA.3329-6185-0171-88901,2021-07-29,1627588003,Charged,y2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.00,5.99,Panamá,CHIRIQUÏ,,PA
GPA.3316-8410-1744-39829,2021-07-30,1627622326,Charged,c2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,VND,"143,000.00",0.00,"143,000.00",Hà Nội,HÀ NỘI,,VN
GPA.3306-7077-6421-96787,2021-07-30,1627625957,Charged,starlte,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.03,0.96,5.99,,,,DE
GPA.3395-2570-2227-98055,2021-07-30,1627649958,Charged,Nord,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,4.83,1.16,5.99,,,,FI
GPA.3361-2318-1179-50793,2021-07-30,1627650272,Charged,gts6lwifi,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,6.71,1.28,7.99,,,,DE
GPA.3323-5467-8166-86674,2021-07-30,1627653344,Charged,y2s,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,VND,"69,000.00",0.00,"69,000.00",,,,VN
GPA.3373-1676-8766-26679,2021-07-30,1627656689,Charged,degaswifi,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.49,0.50,2.99,,,,FR
GPA.3356-1757-8073-18189,2021-07-30,1627664139,Charged,dreamlte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
GPA.3345-3365-1957-69828,2021-07-30,1627664772,Refund,crownlte,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,AUD,7.72,-0.68,-8.49,,,3338,AU
GPA.3314-1477-4083-18419,2021-07-30,1627665994,Charged,a32,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,LKR,575.00,0.00,575.00,Kalubowila,,,LK
GPA.3359-4126-9517-60769,2021-07-30,1627671877,Charged,A3A_XL_4G,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CAD,6.99,0.00,6.99,Penetanguishene,ON,L9M 1M7,CA
GPA.3318-1169-0900-05460,2021-07-30,1627680526,Charged,a10,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GBP,4.16,0.83,4.99,,,,GB
GPA.3362-4373-1901-96181,2021-07-30,1627686131,Charged,a01q,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,0.18,3.17,ANKENY,IA,50023,US
GPA.3349-2257-6955-34707,2021-07-31,1627701334,Charged,a30s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,5.88,0.00,5.88,Comodoro Rivadavia,Chubut,9000,AR
GPA.3348-1153-3825-88533,2021-07-31,1627701910,Charged,Jerid,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,JPY,310.00,0.00,310.00,,,733-0035,JP
GPA.3377-9716-7627-71261,2021-07-31,1627708095,Charged,olive,Remove all Ads forever (Currency Convert - Exchange Rate),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE
GPA.3379-0520-3923-16127,2021-07-31,1627722784,Charged,angelican,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,RUB,224.17,44.83,269.00,Андреаполь,Тверская область,172801,RU
GPA.3329-7834-8032-09255,2021-07-31,1627734256,Refund,daisy_sprout,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,HUF,"1,803.00",-487.00,"-2,290.00",,,,HU
GPA.3344-8244-2665-85415,2021-07-31,1627738188,Charged,d2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,4.57,0.92,5.49,,,,GB
GPA.3351-1027-3839-15219,2021-07-31,1627746013,Charged,A3A_XL_4G,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,GBP,4.83,1.16,5.99,,,,GB
GPA.3317-9981-3106-30348,2021-07-31,1627746037,Charged,cedric,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,MXN,56.03,8.97,65.00,,,73190,MX
GPA.3337-1308-7507-18327,2021-07-31,1627746743,Charged,woods_f,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.51,0.48,2.99,,,,DE
GPA.3354-0935-4787-33916,2021-07-31,1627746954,Charged,dreamlte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,EUR,2.53,0.56,3.09,,,,IT
GPA.3366-1594-3311-72627,2021-07-31,1627751248,Charged,a21s,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,BRL,15.99,0.00,15.99,Porto Alegre,RS,91360040,BR
GPA.3343-0137-6107-21151,2021-07-31,1627753399,Charged,cedric,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CAD,7.49,0.75,8.24,Québec,QC,G1G6G3,CA
GPA.3342-7828-5877-14828,2021-07-31,1627753815,Charged,P35_Pro,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,4.87,1.12,5.99,,,,PT
GPA.3320-8221-8973-82343,2021-07-31,1627762011,Refund,a02,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,COP,"21,000.00",0.00,"-21,000.00",,,,CO
GPA.3358-0135-6672-56661,2021-07-31,1627763969,Charged,cebu,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,COP,"31,000.00",0.00,"31,000.00",,,,CO
