Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3301-2455-2373-20725,2021-10-15,1634307237,Charged,renoir,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.95,1.04,5.99,,,,ES,,
GPA.3355-0851-1482-24938,2021-10-15,1634309678,Charged,r5q,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,HUF,"1,724.00",466.00,"2,190.00",,,,HU,,
GPA.3333-3367-4068-51602,2021-10-15,1634318911,Charged,a32x,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,4.57,0.92,5.49,,,,GB,,
GPA.3363-0122-2028-62288,2021-10-15,1634328361,Refund,z3s,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,4.57,-0.92,-5.49,,,,GB,,
GPA.3367-5440-8992-48069,2021-10-15,1634330678,Charged,mdh40lm,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,Resende,RJ,27534-060,BR,,
GPA.3372-3384-0711-22019,2021-10-15,1634339184,Charged,itel-W5002,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GHS,40.00,7.00,47.00,Bomaa,,,GH,,
GPA.3334-0884-4188-44662,2021-10-16,1634343753,Charged,a71,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CLP,"4,454.00",846.00,"5,300.00",,,3340000,CL,,
GPA.3388-5201-4133-87615,2021-10-16,1634343878,Charged,2026,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,SAR,11.30,1.69,12.99,,,05312,SA,,
GPA.3304-0784-7990-40988,2021-10-16,1634346597,Charged,vili,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,THB,186.92,13.08,200.00,Koh Samui,สุราษฎร์ธานี,84330,TH,,
GPA.3367-5193-8387-45686,2021-10-16,1634354270,Refund,Jakarta_Lite,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.55,0.00,-6.55,Sierra Grande,Río Negro,8532,AR,,
GPA.3345-8101-3379-89624,2021-10-16,1634359320,Charged,c2s,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,IDR,"93,000.00","9,300.00","102,300.00",Semarang,JAWA TENGAH,,ID,,
GPA.3337-1317-5706-73675,2021-10-16,1634361398,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,
GPA.3374-3902-7111-81840,2021-10-16,1634366925,Charged,OnePlus9,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Nagpur,Maharashtra,440034,IN,,
GPA.3355-0851-1482-24938,2021-10-16,1634367117,Refund,r5q,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,HUF,"1,724.00",-466.00,"-2,190.00",,,,HU,,
GPA.3395-6807-5824-71544,2021-10-16,1634377734,Charged,P731F50,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.55,0.00,6.55,Windhoek,,,NA,,
